sampleplotid,sampleplottype,volume,pinevol,sprucevol,decidvol,rad,blue,green,red,re1,re2,re3,nir,nirnarrow,swir1,swir2,hh,hv
423247,1,142.09,0.94,140.64,0.52,20,751.0511535,586.2006018,316.8435306,570.446339,1530.117352,1889.554664,1923.323972,2076.385155,606.2116349,220.0712136,8276.408698,3808.049507
423248,4,355.31,77.59,275.66,2.07,20,747.5718639,546.7760284,307.5688167,498.1340782,1191.431691,1492.477908,1387.965973,1650.537329,583.4428644,242.9812087,8503.420179,3898.337165
423249,1,422.45,31.24,389.34,1.87,20,748.361,554.811,309.876,540.781,1493.059,1854.2,1622.919,2048.442,754.441,284.947,6539.285894,3730.372796
423251,1,247.36,182.51,64.85,0,20,752.8141858,565.7252747,335.6883117,523.8691309,1234.625375,1499.050949,1427.685315,1676.4995,688.6963037,283.2007992,8098.292929,4663.768939
423252,1,295.97,0,292.24,3.73,20,735.2757243,536.0749251,302.8731269,464,1043.207792,1363.064935,1203.377622,1478.727273,509.2857143,206.1558442,5348.667929,3318.27904
423253,3,2.95,0.09,2.64,0.23,20,845.1837349,778.2399598,580.0251004,1065.080321,1977.884538,2336.448795,2427.85241,2643.609438,1749.788153,853.9226908,6354.603513,2464.450439
423254,2,35.04,1.38,32.81,0.85,20,768.5977011,635.1517648,354.1613264,725,2031,2641,2545.105381,2891,915,373,5243.570529,2916.721662
423268,1,171.84,169.44,0,2.4,20,808.204,631.232,380.012,662.762,1430.24,1645.084,1582.408,1813.266,818.656,363.104,7444.84111,4233.131148
423283,1,241.66,0,0,241.66,20,792.9571286,627.6490528,397.8773679,689.1894317,1880.464606,2374.238285,2360.312064,2689.782652,1133.959123,462.333998,7565.366961,3852.785624
423284,1,206.63,120.74,24.74,61.14,20,770.8863179,570.6981891,327.8158954,551.4225352,1684.414487,2146.595573,2132.107646,2357.561368,803.3380282,277.110664,7603.045455,4257.318182
423285,1,239.41,148.59,20.49,70.32,20,764.897,562.099,319.511,564.274,1588.407,1965.26,1775.231,2159.959,761.428,293.234,7093.375474,4252.266751
423286,1,109.79,109.35,0,0.44,20,842.024024,698.5425425,454.5405405,772.3943944,1551.921922,1872.722723,1834.418418,1965.906907,1037.56957,468.7487487,5244.978206,2940.900485
423287,2,33.46,25.9,5.57,1.99,20,767.1827411,622.6954315,333.9238579,686.6598985,1989.705584,2416.28934,2308.604061,2754.274112,1020.517766,403.5076142,5948.076628,3171.528736
423288,1,324.35,109.46,196.18,18.71,20,773.3674699,613.3182731,364.1817269,643.1927711,1613.819277,1971.88755,1928.552209,2156.2249,838.6184739,355.2248996,5667.953105,2395.406844
423289,1,194.59,177.31,0,17.28,20,782.262,616.452,351.333,641.218,1620.087,1951.721,1880.363,2194.592,866.022,368.987,7527.375291,3942.301608
423290,1,398.64,54.93,270.61,73.11,20,742.6893788,538.3937876,304.8917836,495.1673347,1239.562124,1512.533066,1431.628257,1691.921844,640.3346693,248.8196393,9710.126422,4307.810367
423291,1,284.03,0,219.99,64.03,20,757.4358717,568.0280561,306.3226453,544.3476954,1583.504008,1931.428858,1766.99499,2162.168337,812.8897796,304.7735471,7128.93038,5633.173418
423292,1,209.08,0,56.49,152.59,20,767.7293532,593.4527363,342.5830846,621.4348259,1963.142289,2590.169154,2545.229851,2870.930348,1095.453731,421.6029851,6858.847909,3747.441065
423293,1,74.61,68.66,0.45,5.49,20,779.9749499,633.7795591,372.8286573,654.3276553,1912.082164,2349.240481,2208.214429,2549.866733,855.1943888,317.260521,7002.884015,4411.235559
423294,1,53.49,22.55,3.03,27.91,20,787.797,691.527,441.233,773.396,2305.466,2930.737,2870.26,3273.68,1205.684,427.375,7313.614498,2963.218734
423295,3,4.64,0.56,1.48,2.6,20,813.1236291,728.6610169,436.5882353,905.6570289,2392.199402,2862.472582,2893.118644,3225.140578,1525.906281,623.7308076,6160.779597,2540.410579
423296,1,197.35,0,197.35,0,20,756.723,574.967,313.37,518.168,1177.636,1401.648,1351.052,1546.478,620.284,258.986,5530.153553,3348.097716
423309,1,149.26,0,90.67,58.59,20,748.9438878,575.8416834,322.7174349,535.9509018,1497.53006,1920.96994,1974.804609,2143.194389,709.3657315,268.7695391,7228.638889,3658.709596
